template_id,agent_id,user_id,template_name,content,applicable_agent,updated_at
T-1,A-1,U-1,MindFlow Sheet,Generate a motivational message for the user.,Report Generation Agent,21-04-2023 11:58
T-2,A-2,U-2,AI Command Log,Generate possible solutions to the user’s problem.,Follow-Up Question Agent,24-10-2014 05:12
T-3,A-3,U-3,Insight Sheet,Classify the user's message into categories.,Answer Explanation Agent,07-03-2021 18:03
T-4,A-4,U-4,Smart Engine,Generate follow-up questions for clarity.,User Intent Agent,04-04-2015 03:27
T-5,A-5,U-5,Logic Flow,Convert informal text into formal writing.,Text Cleaning Agent,07-03-2025 23:28
T-6,A-6,U-6,AI Knowledge Sheet,Identify the sentiment of the user message.,Problem Solving Agent,10-10-2014 02:30
T-7,A-7,U-7,Prompt System,Rewrite the text in a more professional tone.,Short Answer Agent,02-04-2017 03:17
T-8,A-8,U-8,Insight Sheet,Identify missing information in the conversation.,Risk Analysis Agent,08-07-2020 08:02
T-9,A-9,U-9,Machine Insight,Generate follow-up questions for clarity.,List Generator Agent,25-07-2017 15:32
T-10,A-10,U-10,DataFlow Sheet,Translate the content into easy English.,Email Reply Agent,17-09-2020 10:35
T-11,A-11,U-11,Prompt System,Summarize the key challenges mentioned.,Policy Checking Agent,08-05-2025 01:52
T-12,A-12,U-12,MindFlow Sheet,Summarize the user's intent in one line.,Content Structuring Agent,27-10-2018 12:47
T-13,A-13,U-13,Insight Template,Generate a title based on the given content.,Text Simplification Agent,08-11-2016 12:16
T-14,A-14,U-14,Cognitive Map,Detect errors in the given text and fix them.,Recommendation Agent,22-08-2023 17:28
T-15,A-15,U-15,Prompt System,Summarize the key challenges mentioned.,Text Simplification Agent,05-12-2025 07:41
T-16,A-16,U-16,Data Tracker,Generate action steps based on the user's goal.,Data Mapping Agent,11-04-2018 06:44
T-17,A-17,U-17,Prompt Matrix,Identify key tasks from the user's request.,Instruction Detection Agent,22-08-2021 00:58
T-18,A-18,U-18,DeepSense Template,Generate action steps based on the user's goal.,Numbered List Agent,21-04-2022 09:27
T-19,A-19,U-19,Deep Logic,"Convert long text into short, crisp lines.",Duplicate Detection Agent,13-12-2017 15:44
T-20,A-20,U-20,AI Thinking Grid,Identify key tasks from the user's request.,Topic Classification Agent,11-11-2024 05:32
T-21,A-21,U-21,Machine Insight,Create a concise summary of the conversation.,Follow-Up Question Agent,02-11-2014 08:16
T-22,A-22,U-22,Deep Logic,Suggest improvements to the provided text.,Data Mapping Agent,03-08-2016 23:00
T-23,A-23,U-23,Prompt Matrix,Create a concise summary of the conversation.,Insight Generation Agent,28-06-2020 15:06
T-24,A-24,U-24,Logic Board,Identify missing information in the conversation.,Short Answer Agent,30-10-2015 23:15
T-25,A-25,U-25,Insight Sheet,Convert the content into a numbered list.,Meeting Notes Agent,02-10-2016 19:29
T-26,A-26,U-26,AI Signal Board,Generate possible solutions to the user’s problem.,Text Simplification Agent,13-03-2020 00:45
T-27,A-27,U-27,Neural Path,Generate a motivational message for the user.,Knowledge Base Update Agent,03-10-2016 11:30
T-28,A-28,U-28,Cognitive Template,Convert informal text into formal writing.,Risk Analysis Agent,31-05-2015 15:39
T-29,A-29,U-29,Neural Grid,Generate a short report based on the description.,Insight Generation Agent,27-01-2025 10:35
T-30,A-30,U-30,Smart Sheet,Convert the content into a numbered list.,Email Reply Agent,04-03-2025 21:33
T-31,A-31,U-31,Data Map,Identify what action the user wants the agent to take.,Policy Checking Agent,25-07-2023 20:07
T-32,A-32,U-32,Logic Matrix,Create a concise summary of the conversation.,Report Generation Agent,28-04-2014 14:41
T-33,A-33,U-33,NeuralSense Template,Identify the sentiment of the user message.,Policy Checking Agent,27-04-2021 16:20
T-34,A-34,U-34,DeepSense Template,Rewrite the text in a creative writing style.,Concise Rewrite Agent,15-08-2022 12:36
T-35,A-35,U-35,Agent Insight,Create a concise summary of the conversation.,Policy Checking Agent,06-07-2014 03:05
T-36,A-36,U-36,SmartLogic Sheet,Generate follow-up questions for clarity.,Instruction Detection Agent,23-10-2016 05:28
T-37,A-37,U-37,AI Agent,Translate the content into easy English.,User Intent Agent,22-01-2015 15:51
T-38,A-38,U-38,Prompt Flow,Create a detailed explanation of the user's query.,Problem Solving Agent,08-10-2019 21:44
T-39,A-39,U-39,AI Agent,Create a detailed explanation of the user's query.,Compliance Check Agent,05-05-2016 09:59
T-40,A-40,U-40,AI Thinking Grid,Detect errors in the given text and fix them.,Creative Rewrite Agent,23-02-2015 00:24
T-41,A-41,U-41,Agent Log,Detect if the text contains instructions.,Follow-Up Question Agent,15-12-2018 04:22
T-42,A-42,U-42,DeepAgent Sheet,Generate a short report based on the description.,Numbered List Agent,28-08-2023 15:14
T-43,A-43,U-43,AI Summary Log,Detect if the text contains instructions.,Data Mapping Agent,29-10-2022 00:34
T-44,A-44,U-44,Logic Flow,Detect if the text contains instructions.,List Generator Agent,12-10-2017 07:44
T-45,A-45,U-45,AI Workflow,Create a step-by-step plan for this task.,Problem Solving Agent,11-06-2022 08:48
T-46,A-46,U-46,Insight Sheet,Generate recommendations based on user behavior.,Policy Checking Agent,17-03-2016 05:31
T-47,A-47,U-47,Prompt Matrix,Generate follow-up questions for clarity.,Report Generation Agent,28-05-2023 01:02
T-48,A-48,U-48,Prompt Grid,"Convert long text into short, crisp lines.",Sentiment Detection Agent,03-10-2018 15:05
T-49,A-49,U-49,AI Decision Sheet,Analyze the given data and identify key insights.,Challenge Detection Agent,03-04-2025 04:28
T-50,A-50,U-50,AI Workflow,Rewrite the text in a creative writing style.,Follow-Up Question Agent,13-08-2024 00:09
T-51,A-51,U-51,Prompt Matrix,Identify the sentiment of the user message.,Answer Explanation Agent,26-05-2016 17:04
T-52,A-52,U-52,Prompt Engine,Detect if the text contains instructions.,Duplicate Detection Agent,12-06-2025 15:48
T-53,A-53,U-53,Prompt Flow,Create a step-by-step plan for this task.,Content Rewrite Agent,04-11-2019 05:59
T-54,A-54,U-54,AI Command Log,Detect incomplete sentences and fix them.,JSON Conversion Agent,17-08-2022 02:21
T-55,A-55,U-55,Intelligence Sheet,Create a concise summary of the conversation.,Concise Rewrite Agent,15-08-2020 05:47
T-56,A-56,U-56,Prompt Engine,Detect if the text contains instructions.,Decision Support Agent,24-10-2016 23:36
T-57,A-57,U-57,MindFlow Sheet,Summarize the given document in simple language.,Grammar Correction Agent,08-02-2015 05:39
T-58,A-58,U-58,AI Data Hub,Identify key tasks from the user's request.,Knowledge Base Update Agent,08-11-2014 05:27
T-59,A-59,U-59,Deep Logic,"Convert long text into short, crisp lines.",Suggestion Agent,19-05-2014 17:56
T-60,A-60,U-60,NeuralSense Template,Identify if the user is asking a question or giving info.,Sentiment Detection Agent,11-11-2023 11:34
T-61,A-61,U-61,Neural Grid,Rewrite text to be concise and clear.,Intent Classification Agent,28-07-2014 08:06
T-62,A-62,U-62,AI Behavior Log,Convert the notes into a structured list.,Information Extraction Agent,31-10-2017 12:23
T-63,A-63,U-63,Prompt Grid,Convert informal text into formal writing.,Text Simplification Agent,29-11-2020 19:56
T-64,A-64,U-64,Cognitive Board,Convert messy input into clean formatted text.,Urgency Classification Agent,11-01-2023 20:17
T-65,A-65,U-65,Machine Insight,Analyze the given data and identify key insights.,Bullet Point Conversion Agent,30-01-2022 02:04
T-66,A-66,U-66,Agent Insight,Rewrite text to be more user-friendly.,Knowledge Base Update Agent,19-01-2015 22:54
